Field Id,Field name,Rule,Rule type,Action,Rule note,Message,Message,Condition (if present):,Description
lctr.transaction.completingActions.beneficiaries.entityDetails.address.unitNumber,Apt/Room/Suite/Unit number,123281,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 10 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured,Unstructured address details,123350,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unitNumber, lctr.transaction.completingActions.beneficiaries.entityDetails.address.buildingNumber, lctr.transaction.completingActions.beneficiaries.entityDetails.address.streetAddress, lctr.transaction.completingActions.beneficiaries.entityDetails.address.city, lctr.transaction.completingActions.beneficiaries.entityDetails.address.district, lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode, lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateName, lctr.transaction.completingActions.beneficiaries.entityDetails.address.subProvinceSubLocality, lctr.transaction.completingActions.beneficiaries.entityDetails.address.postalZipCode are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured,Unstructured address details,123351,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 500 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.authorizedPersons,Authorized person list,123510,Content,Reject,,The list must be within the specified size.,332,Beneficiary / Entity,"Reject this report if the list of values is not between 0 and 3.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.authorizedPersons.givenName,Given name,123530,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Authorized person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.authorizedPersons.otherNameInitial,Other name/initial,123540,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Authorized person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.authorizedPersons.surname,Surname,123520,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Authorized person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.extensionNumber,Extension,123260,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.telephoneNumber is empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.extensionNumber,Extension,123261,Format,Warning,,Invalid format.,362,Beneficiary / Entity,"Send a warning if the user provided a value that does not contain up to 10 numbers, dashes, commas, periods, spaces or round brackets.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode,Identification type,123400,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity / Identification,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.thresholdIndicator is 'true'.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode,Identification type,123403,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Beneficiary / Entity / Identification,"Send a warning if the user did not provide a value  and there is a completing action where lctr.transaction.completingActions.details.dispositionCode is one of Outgoing email money transfer (20), Holding funds (21), Outgoing domestic funds transfer (24), Outgoing international funds transfer (25) and the corresponding amount is greater than or equal to $ 1000 CAD.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode,Identification type,123401,Content,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided a value that is not between 1 and 99.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode,Identification type,123402,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity / Identification,"Reject this report if the user provided a value not in the list:
	 - 1=Articles of association
	 - 2=Certificate of corporate status
	 - 3=Certificate of incorporation
	 - 4=Letter/Notice of assessment
	 - 5=Partnership agreement
	 - 6=Annual report
	 - 7=Other
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeOther,Identification type - other,123410,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity / Identification,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode is Other (7).
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeOther,Identification type - other,123411,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity / Identification,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode is not Other (7).
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeOther,Identification type - other,123412,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode,Jurisdiction of issue (country),123430,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode,Jurisdiction of issue (country),123431,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity / Identification,"Reject this report if the user provided a value not in the list:
	 - All ISO Countries
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123440,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity / Identification,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode is not in CA, US, MX.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123443,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Beneficiary / Entity / Identification,"Send a warning if the user did not provide a value and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.identifierTypeCode is one of Certificate of corporate status (2), Certificate of incorporation (3), Letter/Notice of assessment (4) and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode is one of Canada (CA), United States (US), Mexico (MX).
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123441,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123442,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity / Identification,"Reject this report if the province/state code does not correspond with the country provided OR is not a valid Canadian, US or Mexican province/state code given the country lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateName,Jurisdiction of issue (province or state) name,123450,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity / Identification,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueCountryCode is in CA, US, MX.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.jurisdictionOfIssueProvinceStateName,Jurisdiction of issue (province or state) name,123451,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.identifications.number,Number associated with identification type,123420,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Identification,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.nameOfEntity,Name of entity,123240,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.thresholdIndicator is 'true'.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.nameOfEntity,Name of entity,123241,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Beneficiary / Entity,"Send a warning if the user did not provide a value  and there is a completing action where lctr.transaction.completingActions.details.dispositionCode is one of Outgoing email money transfer (20), Holding funds (21), Outgoing domestic funds transfer (24), Outgoing international funds transfer (25) and the corresponding amount is greater than or equal to $ 1000 CAD.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.nameOfEntity,Name of entity,123242,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.natureOfPrincipalBusiness,Nature of entity's principal business,123270,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationIncorporationIndicator,Is the entity registered or incorporated?,123236,Presence,Reject,,Field is mandatory.,329,Beneficiary / Entity,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationIncorporationIndicator,Is the entity registered or incorporated?,123237,Presence,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,Beneficiary / Entity,"Reject this report if the user provided 'true' and lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations is empty or the user provided 'false' and lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations is not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueCountryCode,Jurisdiction of issue (country),123480,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user did not provide a value and all of lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.number, lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateCode, lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateName are empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueCountryCode,Jurisdiction of issue (country),123481,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueCountryCode,Jurisdiction of issue (country),123482,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user provided a value not in the list:
	 - All ISO Countries
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123490,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user did not provide a value and all of lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.number, lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueCountryCode, lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateName are empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123491,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueCountryCode is not in CA, US, MX.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.registrationsIncorporations.jurisdictionOfIssueProvinceStateCode,Jurisdiction of issue (province or state) code,123492,Format,Reject,,Invalid format.,362,Beneficiary / Entity / Registration or incorporation,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
